Age,Family_Size,Cluster
50.01163519429882,2.6829972777136075,0
49.22194416735556,2.6799747417763204,0
50.693682449075965,2.6837977305623495,1
51.552100442432604,2.687757621454295,1
50.2933440477968,2.6806660581349284,1
49.834757368793326,2.682922392751171,0
48.83081578025002,2.6751127374467694,1
49.6400532102357,2.6786637905488595,1
51.49571344719127,2.685544159864949,1
50.19929128894903,2.678575896837124,1
50.09047932616948,2.6811396245554424,0
50.09983990084019,2.6809190792759563,0
50.849449964144,2.6842773913061597,0
49.30257051302873,2.677762143703664,0
50.81262818387681,2.6812801169906795,0
51.206548463452215,2.684272673000221,0
41.68752461824193,2.3627304457023737,3
38.04644144196815,2.8782349661174993,4
50.688549250180714,2.6800215814087367,2
42.104089550812624,2.3314372178387535,3
42.64714411396698,2.329369932076661,3
43.470654314284765,2.3275925736855134,3
42.02394833657717,2.305438029956818,3
42.022625614999185,2.305008916333452,3
43.194636731368995,2.3272210109694758,3
36.92680634140064,2.8766900955169796,4
50.29349259696522,2.6763564119726495,2
37.26680991893694,2.8779917339297367,4
36.90896086959367,2.876806360426351,4
37.13217380701432,2.8770747540532886,4
37.036599138572306,2.8777226928911555,4
50.30540534782577,2.676075734657376,2
51.46396339837509,2.6827552276881597,2
37.24606894486032,2.878138290838371,4
37.717682084868805,2.8786780877860285,4
49.94455646338104,2.6756835381187556,2
37.236767694218706,2.8782040140071787,4
37.93118771627873,3.1411713342105254,5
37.95739830723646,3.139758356894416,5
37.7283458598472,3.1380126652276172,5
37.71433692354307,2.876681166544505,6
39.4516078152888,3.145976124691684,5
38.256599644722776,3.1377083615551085,5
37.26176544010384,2.876196200629981,6
37.488300111206996,2.8764266715680553,6
37.60717256758605,3.1310907949359574,5
37.26667700962904,2.8761629031391065,6
38.30125716102186,3.1351843520251252,5
37.15961353674046,2.8751733349762687,6
37.76437018158558,2.8763120198027585,6
37.4348336911638,3.1271531140899045,5
37.10305958924876,2.87554178920661,6
37.795531273755884,2.876082112415273,6
38.1014068292497,2.8757161866926784,6
37.138547452075656,2.875310582478092,6
37.23756405514928,2.8746654800954183,6
38.122967594742455,2.8755497630887237,6
38.3533343053175,2.8757514008141576,6
37.84099967984337,2.875746645275689,6
37.5694100974118,3.1207812314313244,5
37.64815117826496,2.8735767374371353,6
38.459797200483266,2.8748898377603895,6
